Disease/Trait,Total Mapped Genes,EUR-Only Genes,Shared Genes,SAS-Only Genes,Total EUR Genes,Total SAS Genes
Polyunsaturated fatty acid levels,744,10,734,0,744,734
Neuroticism,741,741,0,0,741,0
Cognitive performance (MTAG),737,737,0,0,737,0
Reticulocyte count,737,737,0,0,737,0
Male-pattern baldness,736,736,0,0,736,0
Estimated glomerular filtration rate (cystatin c),735,524,211,0,735,211
High light scatter reticulocyte percentage of red cells,731,731,0,0,731,0
Adult body size,731,731,0,0,731,0
Body size (confirmatory factor analysis Factor 21),724,724,0,0,724,0
Major depressive disorder,720,720,0,0,720,0
Eosinophil percentage of white cells,717,717,0,0,717,0
Platelet distribution width,717,717,0,0,717,0
Free Cholesterol to Cholesteryl Esters in Large HDL ratio,707,707,0,0,707,0
Urate levels,706,179,527,0,706,527
Monocyte percentage of white cells,705,705,0,0,705,0
Adiposity (multivariate analysis),704,704,0,0,704,0
Self-reported math ability,700,700,0,0,700,0
Reticulocyte fraction of red cells,699,699,0,0,699,0
Gut microbial network clusters (Pink (at 1 year) x Household furry pet dog (3 Months) interaction,691,0,691,0,691,691
Total fatty acid levels,688,6,682,0,688,682
C-reactive protein levels (MTAG),682,682,0,0,682,0
Forced expiratory volume in 1 second (FEV1),680,0,680,0,680,680
Platelet crit (UKB data field 30090),680,680,0,0,680,0
Linoleic acid levels,678,16,662,0,678,662
Forced vital capacity (FVC),675,3,672,0,675,672
Polyunsaturated fatty acids to monounsaturated fatty acids ratio,672,0,672,0,672,672
Intelligence,671,671,0,0,671,0
Non-HDL cholesterol levels,669,0,660,9,660,669
Whole body water mass (UKB data field 23102),665,665,0,0,665,0
"height (mean, inv-normal transformed)",660,660,0,0,660,0
Omega-6 fatty acid levels,651,11,640,0,651,640
Coronary artery disease,651,587,64,0,651,64
"Height (maximum, inv-normal transformed)",650,650,0,0,650,0
Asthma,647,507,140,0,647,140
Gut microbial network clusters (Salmon (at 1 year) x Any Breastfeeding (3 Months) interaction,647,0,647,0,647,647
Omega-6 fatty acids to total fatty acids percentage,643,5,638,0,643,638
Apolipoprotein B levels,639,163,476,0,639,476
Post bronchodilator FEV1/FVC ratio,630,630,0,0,630,0
"height (minimum, inv-normal transformed)",630,630,0,0,630,0
Mean corpuscular haemoglobin (UKB data field 30050),625,625,0,0,625,0
Reaction time,624,624,0,0,624,0
Triglycerides,620,422,198,0,620,198
Lymphocyte percentage of white cells,618,618,0,0,618,0
FEV1/FVC ratio,617,0,617,0,617,617
Omega-3 fatty acid levels,605,6,599,0,605,599
Dementia,600,600,0,0,600,0
Total bilirubin levels,598,450,147,1,597,148
Saturated fatty acids levels,595,0,595,0,595,595
Body surface area,591,591,0,0,591,0
Prostate-specific antigen levels,591,591,0,0,591,0
Depression,590,590,0,0,590,0
Serum creatinine levels,588,588,0,0,588,0
Chronotype,587,587,0,0,587,0
Platelet distribution width (UKB data field 30110),582,582,0,0,582,0
Multiple sclerosis,582,582,0,0,582,0
Neutrophil percentage of white cells,578,578,0,0,578,0
Mean corpuscular volume (UKB data field 30040),577,577,0,0,577,0
HDL cholesterol,575,555,20,0,575,20
Serum total protein levels,571,313,258,0,571,258
Blood pressure (pleiotropy model 1 DBP adjusted for estimated causal effects x SBP),564,564,0,0,564,0
Bioavailable testosterone levels,562,562,0,0,562,0
Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile),560,560,0,0,560,0
Menarche (age at onset),552,541,7,4,548,11
Inflammatory bowel disease,550,295,255,0,550,255
Monocyte count (UKB data field 30130),547,547,0,0,547,0
Personality traits or cognitive traits (multivariate analysis),540,540,0,0,540,0
Hair color,538,538,0,0,538,0
Red blood cell erythrocyte count (UKB data field 30010),535,535,0,0,535,0
Blood pressure (pleiotropy model 2 SBP adjusted for estimated causal effects x DBP),535,535,0,0,535,0
Gout,532,508,24,0,532,24
Glycated hemoglobin levels,525,0,524,1,524,525
Myocardial infarction,524,475,49,0,524,49
Body fat percentage (adjusted for testosterone and SHBG),522,522,0,0,522,0
Smoking initiation (ever regular vs never regular),521,521,0,0,521,0
Calcium levels,520,325,195,0,520,195
Polyunsaturated fatty acids to total fatty acids percentage,519,2,517,0,519,517
Electrocardiogram morphology (amplitude at temporal datapoints),516,516,0,0,516,0
Estimated glomerular filtration rate based on creatinine and cystatin C in bottom 99% of individuals by creatinine levels,515,515,0,0,515,0
Autoimmune hypothyroidism,511,511,0,0,511,0
Mean sphered cell volume (UKB data field 30270),511,510,1,0,511,1
Alkaline phosphatase (UKB data field 30610),509,500,9,0,509,9
Hip index,504,504,0,0,504,0
Substance use disorder,500,500,0,0,500,0
Childhood body mass index,499,499,0,0,499,0
Hemoglobin A1c levels,498,478,10,10,488,20
Mean reticulocyte volume (UKB data field 30260),497,497,0,0,497,0
Thyroid stimulating hormone levels,497,256,239,2,495,241
Linoleic acid to total fatty acids percentage,495,3,492,0,495,492
Monocyte percentage (UKB data field 30190),494,494,0,0,494,0
Immature fraction of reticulocytes,493,493,0,0,493,0
Bipolar disorder,490,490,0,0,490,0
"platelet count (mean, inv-norm transformed)",489,489,0,0,489,0
Eosinophill percentage (UKB data field 30210),484,484,0,0,484,0
Hand grip strength (baseline),481,481,0,0,481,0
Degree of unsaturation,481,8,473,0,481,473
COVID-19 (hospitalized covid vs population),480,129,351,0,480,351
Red blood cell erythrocyte distribution width (UKB data field 30070),479,479,0,0,479,0
IgG glycosylation,478,478,0,0,478,0
"What is your height? (cm, inv-normal transformed)",478,478,0,0,478,0
Impedance of whole body (UKB data field 23106),477,477,0,0,477,0
Low-density lipoprotein levels,476,476,0,0,476,0
Crohn's disease,474,263,211,0,474,211
IGF 1 (UKB data field 30770),471,471,0,0,471,0
Mean corpuscular hemoglobin concentration,469,159,310,0,469,310
Intraocular pressure,468,426,42,0,468,42
Serum albumin levels,467,245,222,0,467,222
Peak expiratory flow,466,289,177,0,466,177
Psoriasis,464,132,332,0,464,332
Docosahexaenoic acid levels,460,13,447,0,460,447
High-density lipoprotein levels (MTAG),459,459,0,0,459,0
Gut microbial network clusters (Pink (at 1 year) x Any Breastfeeding (3 Months) interaction,457,0,457,0,457,457
Highest math class taken,451,451,0,0,451,0
Cognitive performance,451,279,172,0,451,172
Cardiovascular disease,451,451,0,0,451,0
Lymphocyte count (UKB data field 30120),450,450,0,0,450,0
Intelligence (MTAG),450,450,0,0,450,0
Triglyceride to HDL cholesterol ratio,450,16,434,0,450,434
interferon-related traits,450,450,0,0,450,0
Serum metabolite levels,448,448,0,0,448,0
Chronic obstructive pulmonary disease liability (machine learning-based score),448,448,0,0,448,0
Glycated haemoglobin HbA1c levels (UKB data field 30750),448,448,0,0,448,0
Hypertension,446,381,65,0,446,65
High light scatter reticulocyte percentage (UKB data field 30290),445,445,0,0,445,0
Creatinine levels in bottom 99% of individuals by creatinine levels,443,443,0,0,443,0
