Disease/Trait,Total Mapped Genes,EUR-Only Genes,Shared Genes,SAS-Only Genes,Total EUR Genes,Total SAS Genes
Atorvastatin-induced myalgia,8,0,0,8,0,8
"Thoracic or lumbosacral neuritis or radiculitis, unspecified (PheCode 763)",8,8,0,0,8,0
CX3CL1/EPHB6 protein level ratio,8,8,0,0,8,0
Metabolite peak levels (QI14719),8,8,0,0,8,0
Metabolite peak levels (QI14717),8,8,0,0,8,0
Uridine levels,8,5,3,0,8,3
COMMD1 protein levels,8,8,0,0,8,0
Lysophosphatidic acid phosphatase type 6 levels,8,8,0,0,8,0
Cerebrospinal fluid protein LRPAP1 levels,8,8,0,0,8,0
ICD10 C23: Gallbladder cancer,8,8,0,0,8,0
Arachidonoylcarnitine (C20:4) levels,8,1,7,0,8,7
"Alkaline phosphatase, tissue-nonspecific isozyme levels",8,7,1,0,8,1
X-18899 levels,8,8,0,0,8,0
Triacylglycerol 56:3(FA20:0) (Model 1),8,8,0,0,8,0
Alpha-2-macroglobulin levels,8,8,0,0,8,0
Formal thought disorder in schizophrenia,8,8,0,0,8,0
X-11429 levels,8,8,0,0,8,0
Cholesteryl ester(16:0)_[M+NH4]1+ levels,8,0,8,0,8,8
Triacylglycerol 44:1(FA12:0) (Model 1),8,8,0,0,8,0
Protein-tyrosine kinase 6 levels (PTK6.3832.51.1),8,8,0,0,8,0
HEXIM1/TRIAP1 protein level ratio,8,8,0,0,8,0
Serum levels of protein ISG15,8,8,0,0,8,0
HEXIM1/SRPK2 protein level ratio,8,8,0,0,8,0
TBCB/TBCC protein level ratio,8,8,0,0,8,0
FOXO1/MAP4K5 protein level ratio,8,8,0,0,8,0
FOXO1/IRAK4 protein level ratio,8,8,0,0,8,0
Spleen iron concentration,8,8,0,0,8,0
Triacylglycerol 56:6(FA18:1) (Model 2),8,8,0,0,8,0
Triacylglycerol 56:5(FA22:4) (Model 2),8,8,0,0,8,0
X-17337 levels,8,8,0,0,8,0
Phosphatidylcholine-O_38:5_[M+H]1+/Phosphatidylcholine-P_38:4_[M+H]1+ levels,8,0,8,0,8,8
Triacylglycerol 56:7(FA22:4) (Model 1),8,8,0,0,8,0
Amblyopia (PheCode 368.1),8,8,0,0,8,0
Gut microbial network clusters (Magenta (at 1 year) x Older Siblings interaction,8,0,8,0,8,8
Central origin vertigo (PheCode 386.21),8,8,0,0,8,0
DKK1/PDGFB protein level ratio,8,8,0,0,8,0
IL7 protein levels,8,8,0,0,8,0
3-month functional outcome in non-lacunar ischaemic stroke (modified Rankin score),8,8,0,0,8,0
Serum levels of protein CDSN,8,8,0,0,8,0
Personality traits in bipolar disorder,8,8,0,0,8,0
Phosphatidylcholine (O-18:2_16:0) levels,8,8,0,0,8,0
Triacylglycerol 44:0(FA14:0) (Model 1),8,8,0,0,8,0
Beta-Ala-His dipeptidase levels,8,7,1,0,8,1
Diacylglycerol (16:1/20:4) (Model 2),8,8,0,0,8,0
Circulating FGR levels,8,8,0,0,8,0
Metabolite peak levels (QI14769),8,8,0,0,8,0
Metabolite peak levels (QI14741),8,8,0,0,8,0
"Cerebrospinal fluid bilirubin (Z,Z) levels",8,8,0,0,8,0
High-sensitivity C-reactive protein levels,8,5,3,0,8,3
OTU99_132 (Bacteroidales) abundance,8,8,0,0,8,0
Radial peak diastolic strain rate,8,8,0,0,8,0
Inclusion body myositis,8,8,0,0,8,0
R amplitude of combined wave in lead V2,8,8,0,0,8,0
Major coronary event in cardiovascular disease (time to event) (darapladib treatment interaction),8,8,0,0,8,0
LDL cholesterol change in response to fenofibrate in statin-treated type 2 diabetes,8,8,0,0,8,0
HDL cholesterol change in response to fenofibrate in statin-treated type 2 diabetes,8,8,0,0,8,0
Bone morphogenetic protein 7 levels,8,8,0,0,8,0
TNF-related apoptosis-inducing ligand receptor 2 levels,8,8,0,0,8,0
X-16946 levels,8,8,0,0,8,0
Chronic bronchitis or irritable bowel syndrome (MTAG),8,8,0,0,8,0
Triacylglycerol 56:6(FA18:0) (Model 1),8,8,0,0,8,0
Metastatic colorectal cancer survival in treatment with chemotherapy plus biologics,8,8,0,0,8,0
AXL/IL18BP protein level ratio,8,8,0,0,8,0
Skin aging measurement,8,8,0,0,8,0
Phosphatidylethanolamine (18:0_18:1) levels,8,8,0,0,8,0
Doctor-diagnosed food allergy (adjusted for hay fever),8,8,0,0,8,0
CFD protein levels,8,8,0,0,8,0
CEP85 protein levels,8,8,0,0,8,0
DAB2/FKBP1B protein level ratio,8,8,0,0,8,0
DAB2/ERBIN protein level ratio,8,8,0,0,8,0
Human milk oligosaccharide concentration (Sialic acid-bound),8,0,8,0,8,8
HMBS/PKLR protein level ratio,8,8,0,0,8,0
X-12544 levels,8,7,1,0,8,1
Body mass index and coronary artery disease (pairwise),8,0,8,0,8,8
Metabolite peak levels (QI1480),8,8,0,0,8,0
Metabolite peak levels (QI14798),8,8,0,0,8,0
Spelling,8,8,0,0,8,0
Dentate gyrus molecular layer volume,8,8,0,0,8,0
Circulating EIF4B levels,8,8,0,0,8,0
Cyclic AMP-dependent transcription factor ATF-6 alpha levels,8,8,0,0,8,0
Triacylglycerol 56:7(FA20:5) (Model 2),8,8,0,0,8,0
Non-alcoholic chronic pancreatitis,8,8,0,0,8,0
X-24747 levels,8,8,0,0,8,0
Preterm delivery,8,8,0,0,8,0
IDP dMRI TBSS ICVF External capsule L,8,8,0,0,8,0
Phosphatidylcholine (O-16:1_20:4) levels,8,8,0,0,8,0
CRACR2A protein levels,8,8,0,0,8,0
Phosphatidylcholines (16:0/20:2) (Model 1),8,8,0,0,8,0
wg lh intensity-contrast superiorfrontal,8,8,0,0,8,0
IDP dMRI ProbtrackX ICVF atr l,8,8,0,0,8,0
IDP dMRI ProbtrackX ICVF ar r,8,8,0,0,8,0
IDP dMRI ProbtrackX ICVF ar l,8,8,0,0,8,0
Overall survival in tamoxifen-treated early-onset breast cancer,8,8,0,0,8,0
ICD10 J32: Chronic rhinosinusitis,8,8,0,0,8,0
Maternal history of Alzheimer's disease,8,8,0,0,8,0
GOPC protein levels,8,8,0,0,8,0
Metabolite peak levels (QI1071),8,8,0,0,8,0
Metabolite peak levels (QI1027),8,8,0,0,8,0
Age of onset of parkinson disease,8,8,0,0,8,0
Self-reported food allergy (adjusted for hay fever),8,8,0,0,8,0
CES2 protein levels,8,8,0,0,8,0
DBNL/HEXIM1 protein level ratio,8,8,0,0,8,0
FXN protein levels,8,8,0,0,8,0
Lactosylceramide 4-alpha-galactosyltransferase levels,8,8,0,0,8,0
Serum levels of protein CD177,8,8,0,0,8,0
Phosphatidylethanolamine-O_34:3_[M-H]1-/Phosphatidylethanolamine-P_34:2_[M-H]1- levels,8,0,8,0,8,8
OTU99_62 (Ruminococcaceae) prevalence,8,8,0,0,8,0
DLL1/IL18BP protein level ratio,8,8,0,0,8,0
Lipid or lipoprotein levels,8,8,0,0,8,0
2-arachidonoyl-GPE (20:4) levels,8,8,0,0,8,0
Mitochondrial DNA copy number (white blood cells),8,8,0,0,8,0
"Biological Father:  Cancer, Skin",8,8,0,0,8,0
"erythrocyte sedimentation rate (ESR, maximum, inv-norm transformed)",8,8,0,0,8,0
White coat effect (clinic diastolic blood pressure minus ambulatory diastolic blood pressure),8,8,0,0,8,0
Alzheimer's disease in hypertension,8,8,0,0,8,0
"Response to radiotherapy in prostate cancer (toxicity, rectal bleeding)",8,8,0,0,8,0
Sulfatide (d18:1/24:1) levels,8,8,0,0,8,0
Monohexosylceramide (d18:2/22:0) levels,8,8,0,0,8,0
Asthma exacerbations,8,8,0,0,8,0
"cAMP-specific 3',5'-cyclic phosphodiesterase 4D levels (PDE4D.5255.22.3)",8,8,0,0,8,0
Volume of left central nucleus,8,8,0,0,8,0
Hyperbilirubinemia in acute lymphoblastic leukemia,8,8,0,0,8,0
"Bilirubin degradation product, C17H18N2O4 (3) levels",8,0,8,0,8,8
Chronic rhinitis or nasopharyngitis or pharyngitis (MTAG),8,8,0,0,8,0
Brain age (difference between predicted and chronological age),8,8,0,0,8,0
wg lh intensity-contrast insula,8,8,0,0,8,0
Circulating STK4 levels,8,8,0,0,8,0
FTLD-TDP subtype C,8,8,0,0,8,0
Interleukin-1 receptor-like 1 levels,8,2,6,0,8,6
Intercellular adhesion molecule 5 levels,8,5,3,0,8,3
Response to fenofibrate,8,8,0,0,8,0
NUB1 protein levels,8,8,0,0,8,0
TIA1 protein levels,8,8,0,0,8,0
Glycerol 3-phosphate levels,8,4,4,0,8,4
Serum levels of protein CXCL5,8,8,0,0,8,0
Decanoylcarnitine levels,8,8,0,0,8,0
PPP1R2 protein levels,8,8,0,0,8,0
Serum potassium levels,8,0,0,8,0,8
Serum levels of protein GALNT10,8,8,0,0,8,0
COVID-19 infection or systemic lupus erythematosus (MTAG),8,8,0,0,8,0
1-linoleoyl-GPI (18:2) levels,8,4,4,0,8,4
Decline in glucose metabolism in posterior cingulate cortex,8,8,0,0,8,0
Depression (PheCode 296.2),8,8,0,0,8,0
Gut microbiome abundance (class Bacteroides sp. 52 (at 1 year) x Summer Birth (Jun-Aug) interaction,8,0,8,0,8,8
Acylcarnitine (15:0) (b) levels,8,8,0,0,8,0
Circulating odd-numbered chain saturated fatty acid levels (C17:0),8,8,0,0,8,0
Immunoglobulin N-glycan 10 levels,8,8,0,0,8,0
IKZF2 protein levels,8,8,0,0,8,0
IGSF9 protein levels,8,8,0,0,8,0
"Bilirubin degradation product, C16H18N2O5 (4) levels",8,0,8,0,8,8
"Bilirubin degradation product, C17H20N2O5 (2) levels",8,0,8,0,8,8
"Bilirubin degradation product, C16H18N2O5 (1) levels",8,0,8,0,8,8
"Bilirubin degradation product, C16H18N2O5 (2) levels",8,0,8,0,8,8
Phosphatidylinositols (16:0/20:4) (Model 1),8,8,0,0,8,0
Phosphatidylcholine (16:1_20:4) levels,8,8,0,0,8,0
Phosphatidylcholine (16:0_22:4) levels,8,8,0,0,8,0
Phosphatidylcholine (16:0_20:3) levels,8,8,0,0,8,0
PPP1R2/STK4 protein level ratio,8,8,0,0,8,0
Complement C1q subcomponent subunit C levels,8,8,0,0,8,0
Cervical dysplasia,8,8,0,0,8,0
Sphingomyelin(37:1)_[M+H]1+ levels,8,0,8,0,8,8
Body mass index or spine osteoarthritis (pleiotropy),8,8,0,0,8,0
NAP1L4 protein levels,8,8,0,0,8,0
BLVRB/PKLR protein level ratio,8,8,0,0,8,0
DNMBP/PTPN1 protein level ratio,8,8,0,0,8,0
Kazal-type serine protease inhibitor domain-containing protein 1 levels,8,8,0,0,8,0
Kallikrein-6 levels,8,8,0,0,8,0
Serum levels of protein CTSA,8,8,0,0,8,0
Alkyldiacylglycerol (O-50:1) [NL-16:0] levels,8,8,0,0,8,0
Psychosis proneness (hypomanic personality scale and revised social anhedonia scale),8,8,0,0,8,0
Psychosis proneness (hypomanic personality scale and revised physical anhedonia scale),8,8,0,0,8,0
"Bilirubin degradation product, C16H18N2O5 (3) levels",8,0,8,0,8,8
X-21668 levels,8,8,0,0,8,0
Cognitive impairment,8,8,0,0,8,0
Iliac isthmus breadth,8,8,0,0,8,0
Acetabular diameter,8,8,0,0,8,0
X-15492 levels,8,8,0,0,8,0
PH and SEC7 domain-containing protein 1 levels,8,8,0,0,8,0
Circulating AREG levels (id: OID00728_OID21357),8,8,0,0,8,0
Cholesteryl ester (20:5) levels,8,8,0,0,8,0
Immature granulocyte percentage of white cells,8,8,0,0,8,0
CCL5/SERPINE1 protein level ratio,8,8,0,0,8,0
MUC16 protein levels,8,8,0,0,8,0
MPIG6B protein levels,8,8,0,0,8,0
MGMT protein levels,8,8,0,0,8,0
MGLL protein levels,8,8,0,0,8,0
MFAP5 protein levels,8,8,0,0,8,0
Opioid use cessation,8,8,0,0,8,0
PPP1R2/TACC3 protein level ratio,8,8,0,0,8,0
Transmembrane protein 87B levels,8,8,0,0,8,0
Sialic acid-binding Ig-like lectin 14 levels,8,5,3,0,8,3
Serum amyloid A-1 protein levels,8,4,4,0,8,4
Gut microbiome abundance (class Clostridium sensu stricto sp. 17 (at 3 months) x Homesmokers interaction,8,0,8,0,8,8
Toll-like receptor 4:Lymphocyte antigen 96 complex levels,8,3,5,0,8,5
Nonalcoholic steatohepatitis,8,8,0,0,8,0
Brainstem global volume Whole-brainstem,8,8,0,0,8,0
Chronic obstructive pulmonary disease (severe),8,8,0,0,8,0
Political ideology,8,8,0,0,8,0
Non-response to citalopram or escitalopram and depression,8,8,0,0,8,0
Myalgic encephalomyelitis / chronic fatigue syndrome,8,8,0,0,8,0
Alteration of consciousness (PheCode 291.8),8,8,0,0,8,0
Metabolite peak levels (QI13939),8,8,0,0,8,0
Metabolite peak levels (QI13938),8,8,0,0,8,0
Cerebrospinal fluid beta-site APP cleaving enzyme levels,8,8,0,0,8,0
Mitochondrial DNA heteroplasmy (chrM:302:A:ACC case-only heteroplasmy),8,8,0,0,8,0
X-12026 levels,8,8,0,0,8,0
INPP1 protein levels,8,8,0,0,8,0
Myeloid leukemia factor 1 levels,8,8,0,0,8,0
X-13431 levels,8,6,2,0,8,2
BAG3 protein levels,8,8,0,0,8,0
Phosphatidylcholines (18:1/20:3) (Model 1),8,8,0,0,8,0
Circulating ICOSLG levels (id: OID00731_OID21351),8,8,0,0,8,0
Medial nucleus volume,8,0,8,0,8,8
Accessory basal nucleus volume,8,0,8,0,8,8
Longevity (age >99th survival percentile),8,8,0,0,8,0
Perceived intensity of aspartame,8,8,0,0,8,0
1-palmitoyl-3-linoleoyl-glycerol (16:0/18:2) levels,8,8,0,0,8,0
GATD3 protein levels,8,8,0,0,8,0
Glucosuria,8,8,0,0,8,0
Serum levels of protein AXL,8,8,0,0,8,0
Osteosarcoma,8,8,0,0,8,0
Ceramide (d19:1/18:0) levels,8,8,0,0,8,0
BCL2L1 protein levels,8,8,0,0,8,0
End-stage knee osteoarthritis,8,8,0,0,8,0
2-palmitoyl-GPC (16:0) levels,8,7,1,0,8,1
X-24452 levels,8,8,0,0,8,0
Other symptoms/disorders or the urinary system (PheCode 599),8,8,0,0,8,0
Ratio of diacylglycerol to triglycerides,8,0,8,0,8,8
Cleft lip with or without cleft palate x maternal periconceptional vitamin use interaction (parent of origin effect),8,8,0,0,8,0
Lysophosphatidylethanolamine (16:0) [sn1] levels,8,8,0,0,8,0
Non-response to bupropion and depression,8,8,0,0,8,0
Phosphatidylcholines (14:0/20:4) (Model 1),8,8,0,0,8,0
Acute graft-versus-host disease (stage 3 to 4) (recipient effect),8,8,0,0,8,0
Cocaine dependence (time to event),8,8,0,0,8,0
DAPP1/MANF protein level ratio,8,8,0,0,8,0
APOA4 protein levels,8,8,0,0,8,0
GRPEL1 protein levels,8,8,0,0,8,0
ANXA4/FADD protein level ratio,8,8,0,0,8,0
Response to lamotrigine and valproic acid in genetic generalized epilepsy,8,8,0,0,8,0
BAIAP2 protein levels,8,8,0,0,8,0
Mast/stem cell growth factor receptor Kit levels,8,8,0,0,8,0
Phosphatidylethanolamine (38:4)A levels,8,8,0,0,8,0
Ceramide (d18:1/20:0) levels,8,8,0,0,8,0
Anti-measles virus IgG levels,8,8,0,0,8,0
CALB1 protein levels,8,8,0,0,8,0
Left-hemisphere visual network to caudate white-matter structural connectivity,8,0,8,0,8,8
Left-hemisphere default mode network to thalamus white-matter structural connectivity,8,0,8,0,8,8
Left-hemisphere default mode network to right-hemisphere dorsal attention network white-matter structural connectivity,8,0,8,0,8,8
Left ventricular global longitudinal strain,8,0,8,0,8,8
Fasting insulin z-score (<15th percentile),8,8,0,0,8,0
KYAT1/QDPR protein level ratio,8,8,0,0,8,0
Marginal zone lymphoma or multiple sclerosis,8,8,0,0,8,0
OTU99_34 (Holdemanella) abundance,8,8,0,0,8,0
KYAT1/PLPBP protein level ratio,8,8,0,0,8,0
N-acetylalanine levels,8,7,1,0,8,1
Panic disorder,8,8,0,0,8,0
Chitinase-3-like protein 1 levels,8,8,0,0,8,0
Obstruction of bile duct (PheCode 575.2),8,8,0,0,8,0
Metabolite peak levels (QI2240),8,8,0,0,8,0
Metabolite peak levels (QI2236),8,8,0,0,8,0
Metabolite peak levels (QI2180),8,8,0,0,8,0
Triacylglycerol 52:3(FA16:1) (Model 1),8,8,0,0,8,0
Oleoyl-linoleoyl-glycerol (18:1/18:2) [1] levels,8,8,0,0,8,0
Phosphatidylcholines (18:1/20:2) (Model 1),8,8,0,0,8,0
2-stearoyl-GPE (18:0) levels,8,5,3,0,8,3
Cerebral amyloid angiopathy in APOEe4 non-carrier Alzheimer’s disease,8,8,0,0,8,0
Verbal memory performance (residualized delayed recall level),8,8,0,0,8,0
Sphingomyelins (FA14:0) (Model 1),8,8,0,0,8,0
CLEC14A/TNFRSF21 protein level ratio,8,8,0,0,8,0
Granulins levels,8,6,2,0,8,2
Metabolite peak levels (QI2179),8,8,0,0,8,0
X-11522 levels,8,8,0,0,8,0
X-11372 levels,8,6,2,0,8,2
X-10458 levels,8,8,0,0,8,0
Platelet thrombus formation,8,8,0,0,8,0
Oligoclonal band status in multiple sclerosis,8,8,0,0,8,0
CALCOCO1 protein levels,8,8,0,0,8,0
"Periodontal pocket (adjusted for age, sex, smoking status  and plaque)",8,8,0,0,8,0
Left-hemisphere control network to amygdala white-matter structural connectivity,8,0,8,0,8,8
Heparan-sulfate 6-O-sulfotransferase 1 levels,8,8,0,0,8,0
CLIP2/LAT2 protein level ratio,8,8,0,0,8,0
Change in neurofilament light levels,8,8,0,0,8,0
Decreased low contrast letter acuity in multiple sclerosis,8,8,0,0,8,0
Oleoyl-linoleoyl-glycerol (18:1/18:2) [2] levels,8,4,4,0,8,4
LYN/SIRT2 protein level ratio,8,8,0,0,8,0
Egg allergy (maternal genetic effects),8,8,0,0,8,0
FCGR3A protein levels,8,8,0,0,8,0
Ceramide (d17:1/24:1) levels,8,8,0,0,8,0
ANXA3/ENO2 protein level ratio,8,8,0,0,8,0
Gut microbiome abundance (class Clostridium sensu stricto sp. 17 (at 1 year) x Winter Birth (Dec-Feb) interaction,8,0,8,0,8,8
PDLIM7/SRC protein level ratio,8,8,0,0,8,0
CKAP4/LTBR protein level ratio,8,8,0,0,8,0
Inactive gamma-glutamyltranspeptidase 2 levels,8,8,0,0,8,0
Drusen volume within a central 5 mm circle (model 1),8,8,0,0,8,0
IgG bisecting N-acetyl glucosamine phenotypes (multivariate analysis),8,8,0,0,8,0
IgG monogalactosylation phenotypes (multivariate analysis),8,8,0,0,8,0
Stanniocalcin-1 levels,8,8,0,0,8,0
GCG protein levels,8,8,0,0,8,0
ANGPT1/DKK1 protein level ratio,8,8,0,0,8,0
ANGPT1/CCN2 protein level ratio,8,8,0,0,8,0
AREG protein levels,8,8,0,0,8,0
CD4-CD8- Natural Killer T Absolute Count,8,8,0,0,8,0
Metabolite peak levels (QI15739),8,8,0,0,8,0
Metabolite peak levels (QI1568),8,8,0,0,8,0
Metabolite peak levels (QI1565),8,8,0,0,8,0
Pneumonia due to fungus (mycoses) (PheCode 480.3),8,8,0,0,8,0
"Plasma bilirubin degradation product, C16H18N2O5 (4)** levels in chronic kidney disease",8,8,0,0,8,0
"Plasma bilirubin degradation product, C16H18N2O5 (2)** levels in chronic kidney disease",8,8,0,0,8,0
Sphingomyelin(39:1)_[M+H]1+ levels,8,0,8,0,8,8
Geographic atrophy within a central 5 mm circle (model 1),8,8,0,0,8,0
P_Actinobacteria abundance,8,8,0,0,8,0
OTU99_19 (Bacteria) prevalence,8,8,0,0,8,0
1-dihomo-linolenoyl-GPE (20:3n3 or 6) levels,8,8,0,0,8,0
S100A12 protein levels,8,8,0,0,8,0
Leucine-rich repeat transmembrane protein FLRT2 levels,8,8,0,0,8,0
Dipeptidase 2 levels,8,8,0,0,8,0
Whole-brain volume (12 month visit)(adjusted for APOE e4 dosage),8,8,0,0,8,0
C-X-C motif chemokine 1 levels,8,8,0,0,8,0
Serum levels of protein MANF,8,8,0,0,8,0
Circulating STAMBP levels,8,8,0,0,8,0
2-palmitoyl-GPE (16:0) levels,8,8,0,0,8,0
2-ketocaprylate levels,8,4,4,0,8,4
Distal/Left-sided colorectal cancer,8,8,0,0,8,0
IDP T1 FAST ROIs L putamen,8,8,0,0,8,0
"Plasma bilirubin (E,Z or Z,E)* levels in chronic kidney disease",8,8,0,0,8,0
Plasma biliverdin levels in chronic kidney disease,8,8,0,0,8,0
"Plasma bilirubin degradation product, C17H20N2O5 (2)** levels in chronic kidney disease",8,8,0,0,8,0
"Plasma bilirubin degradation product, C17H20N2O5 (1)** levels in chronic kidney disease",8,8,0,0,8,0
"Plasma bilirubin degradation product, C17H18N2O4 (3)** levels in chronic kidney disease",8,8,0,0,8,0
"Plasma bilirubin degradation product, C17H18N2O4 (1)** levels in chronic kidney disease",8,8,0,0,8,0
KDM3A protein levels,8,8,0,0,8,0
Left  ventricle systolic dysfunction,8,8,0,0,8,0
C4A protein levels,8,8,0,0,8,0
Gremlin-1 levels,8,8,0,0,8,0
Serum levels of protein SCP2D1,8,8,0,0,8,0
Serum levels of protein MRPL58,8,8,0,0,8,0
Peptidyl-glycine alpha-amidating monooxygenase levels,8,8,0,0,8,0
CPN1 protein levels,8,8,0,0,8,0
COL6A3 protein levels,8,8,0,0,8,0
"prothrombin time (PT, maximum, inv-norm transformed)",8,8,0,0,8,0
"Plasma bilirubin degradation product, C16H18N2O5 (1)** levels in chronic kidney disease",8,8,0,0,8,0
Phosphatidylethanolamine_36:2_[M-H]1- levels,8,0,8,0,8,8
Cerebral microbleeds (lobar),8,8,0,0,8,0
Leg fat mass and leg lean mass (pleiotropy),8,8,0,0,8,0
S and T amplitude difference lead V4,8,8,0,0,8,0
BCAN/MOG protein level ratio,8,8,0,0,8,0
Arterial stiffness (brachial-femoral pulse wave velocity),8,8,0,0,8,0
BCR/NFATC1 protein level ratio,8,8,0,0,8,0
MYDGF protein levels,8,8,0,0,8,0
Paralytic ileus (PheCode 560.1),8,8,0,0,8,0
Phosphatidylcholines (36:4)B levels,8,8,0,0,8,0
ACOT13 protein levels,8,8,0,0,8,0
Metabolite peak levels (QI961),8,8,0,0,8,0
Dihydrosylceramides (FA20:0) (Model 1),8,8,0,0,8,0
CPOX protein levels,8,8,0,0,8,0
Receptive language ability,8,8,0,0,8,0
Metabolite peak levels (QI14045),8,8,0,0,8,0
Metabolite peak levels (QI14032),8,8,0,0,8,0
Glasses or contact lenses use (age of onset) (UKB data field 2217),8,8,0,0,8,0
Functional activities questionnaire (baseline),8,8,0,0,8,0
Global cognition (Clinical Dementia Rating Scale Sum of Boxes) (baseline),8,8,0,0,8,0
Skin sensitivity to sun,8,8,0,0,8,0
Serum levels of protein MCTS1,8,8,0,0,8,0
Serum levels of protein PCDHGA1,8,8,0,0,8,0
Scavenger receptor cysteine-rich type 1 protein M130 levels,8,8,0,0,8,0
Diverticulosis,8,8,0,0,8,0
Triacylglycerol 52:3(FA20:1) (Model 1),8,8,0,0,8,0
Fracture of unspecified part of femur (PheCode 800.2),8,8,0,0,8,0
Multiple myeloma (PheCode 204.4),8,8,0,0,8,0
DnaJ homolog subfamily B member 11 levels,8,8,0,0,8,0
interleukin-18 receptor 1 levels,8,2,6,0,8,6
Cripto levels (serum),8,8,0,0,8,0
Serum levels of protein PAXIP1,8,8,0,0,8,0
PDCD5 protein levels,8,8,0,0,8,0
Encounter for long-term (current) use of antibiotics (PheCode 980),8,8,0,0,8,0
TestASV_14 (Lachnospiraceae) prevalence,8,8,0,0,8,0
Erucate (22:1n9) levels,8,8,0,0,8,0
Metabolite peak levels (QI1234),8,8,0,0,8,0
Benign neoplasm of brain and other parts of nervous system (PheCode 225),8,8,0,0,8,0
ESAM/THPO protein level ratio,8,8,0,0,8,0
ESAM/LAMA4 protein level ratio,8,8,0,0,8,0
Colorectal cancer x fine particulate matter exposure levels interaction,7,7,0,0,7,0
Phosphatidylcholines (36:3E)1 levels,7,7,0,0,7,0
Gut microbiome abundance (class Clostridium sensu stricto sp. 17 (at 1 year) x Exclusive Breastfeeding (Duration) interaction,7,0,7,0,7,7
Detectable estradiol levels in postmenopausal women,7,7,0,0,7,0
Twisted gastrulation protein homolog 1 levels,7,7,0,0,7,0
Peripheral artery disease or smoking (pleiotropy),7,7,0,0,7,0
"Takes medication for Chronic lung diseases including COPD, Emphysema and Bronchitis?",7,7,0,0,7,0
Phosphatidylcholines (38:4)C levels,7,7,0,0,7,0
Hemojuvelin levels,7,6,1,0,7,1
Sterol ester (27:1/16:1) levels,7,7,0,0,7,0
Hepatocyte growth factor receptor levels,7,5,2,0,7,2
Interleukin-17 receptor A levels,7,4,3,0,7,3
Skin autofluorescence,7,7,0,0,7,0
ALCAM/CDH5 protein level ratio,7,7,0,0,7,0
Fetuin-B levels,7,5,2,0,7,2
Caproate (6:0) levels,7,5,2,0,7,2
Aortic valve stenosis,7,7,0,0,7,0
Serum levels of protein MLN,7,7,0,0,7,0
Clonal hematopoiesis (TET2 mutation),7,7,0,0,7,0
Response to esketamine (remission) in treatment resistant depression,7,7,0,0,7,0
NBL1 protein levels,7,7,0,0,7,0
Chronic kidney disease and serum creatinine levels,7,7,0,0,7,0
wg rh intensity-contrast parahippocampal,7,7,0,0,7,0
wg rh intensity-contrast isthmuscingulate,7,7,0,0,7,0
wg rh intensity-contrast lateraloccipital,7,7,0,0,7,0
Atrioventricular conduction,7,7,0,0,7,0
Stathmin levels,7,7,0,0,7,0
Circulating CD70 levels (id: OID00736_OID20599),7,7,0,0,7,0
Circulating SMAD5 levels,7,7,0,0,7,0
aparc-pial rh area pericalcarine,7,7,0,0,7,0
TNIP1 protein levels,7,7,0,0,7,0
Lipoprotein(a) levels adjusted for apolipoprotein(a) isoforms,7,7,0,0,7,0
Metabolite levels (succinylcarnitine; succinylcarnitine (C4-DC)),7,7,0,0,7,0
wg rh intensity-contrast parsorbitalis,7,7,0,0,7,0
Circulating IL6 levels (id: OID00390_OID21276),7,7,0,0,7,0
PGD protein levels,7,7,0,0,7,0
LGALS8/TXNDC5 protein level ratio,7,7,0,0,7,0
LGMN/SPINT2 protein level ratio,7,7,0,0,7,0
Cis-4-decenoylcarnitine (C10:1) levels,7,4,3,0,7,3
Circulating SH2D1A levels,7,7,0,0,7,0
OTU97_73 (Prevotella) abundance,7,7,0,0,7,0
CLEC1B/RWDD1 protein level ratio,7,7,0,0,7,0
Proactivator polypeptide-like 1 levels,7,7,0,0,7,0
CLEC1B/TXNDC5 protein level ratio,7,7,0,0,7,0
Right-hemisphere limbic network to thalamus white-matter structural connectivity,7,0,7,0,7,7
CORO1A protein levels,7,7,0,0,7,0
Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma,7,7,0,0,7,0
Bipolar II disorder,7,7,0,0,7,0
IDP dMRI TBSS ISOVF Anterior corona radiata L,7,7,0,0,7,0
IDP T1 FAST ROIs R putamen,7,7,0,0,7,0
Matrix metalloproteinase-10 levels,7,7,0,0,7,0
Interstitial lung abnormalities,7,7,0,0,7,0
Subpleural-predominant interstitial lung abnormalities,7,7,0,0,7,0
N-acetylvaline levels,7,7,0,0,7,0
R peak area in lead V3,7,7,0,0,7,0
R peak area in lead III,7,7,0,0,7,0
Time to smoke first cigarette in the morning,7,7,0,0,7,0
Systolic blood pressure x educational attainment (some college) interaction (2df),7,0,7,0,7,7
DNA-directed RNA polymerase III subunit RPC9 levels,7,7,0,0,7,0
Comorbidity of gastric and duodenal ulcers,7,7,0,0,7,0
Breast cancer in childhood cancer survivors,7,7,0,0,7,0
Cerebrospinal fluid protein DNASE1 levels,7,7,0,0,7,0
Sphingomyelin(38:1)_[M+H]1+ levels,7,0,7,0,7,7
IDP dMRI TBSS L3 Anterior limb of internal capsule L,7,7,0,0,7,0
IgG digalactosylation phenotypes (multivariate analysis),7,7,0,0,7,0
Erythema nodosum in inflammatory bowel disease,7,7,0,0,7,0
